"app","web"
174.5838,149.39532
151.204752,153.74664
154.84824,145.044
150.29388,150.84576
150.445692,149.39532
149.231196,152.2962
150.29388,156.64752
149.990256,153.74664
150.749316,152.2962
151.812,149.39532
148.320324,152.2962
151.356564,153.74664
148.927572,152.2962
149.383008,153.74664
148.320324,156.64752
145.73952,156.64752
146.802204,150.84576
148.320324,156.64752
147.25764,162.44928
148.623948,159.5484
165.47508,134.600832
128.432952,133.295436
117.350676,134.600832
132.683688,135.326052
120.538728,203.0616
120.386916,131.99004
115.073496,129.524292
170.02944,126.043236
154.84824,130.394556
106.723836,131.119776
108.54558,200.16072
114.314436,127.203588
129.0402,131.554908
110.519136,134.310744
109.152828,131.119776
109.152828,130.5396
107.78652,139.387284
132.380064,130.249512
114.921684,162.44928
119.17242,127.63872
198.87372,160.99884
194.31936,155.19708
192.80124,156.64752
191.28312,158.09796
207.98244,152.2962
194.31936,152.2962
188.24688,159.5484
194.31936,158.09796
192.80124,155.19708
186.72876,150.84576
186.72876,159.5484
192.80124,159.5484
189.765,155.19708
186.72876,160.99884
188.24688,158.09796
192.80124,152.2962
192.80124,158.09796
186.72876,159.5484
195.83748,158.09796
192.80124,153.74664
144.676836,135.61614
105.50934,132.280128
108.393768,175.50324
124.941276,233.52084
123.119532,221.91732
114.769872,152.2962
124.182216,160.99884
122.20866,210.3138
122.360472,220.46688
121.297788,201.61116
122.664096,178.40412
132.228252,147.94488
133.746372,156.64752
135.11268,153.74664
132.8355,174.0528
136.023552,155.19708
138.90798,152.2962
93.971628,152.2962
109.152828,159.5484
149.838444,156.64752
180.65628,152.2962
180.65628,145.044
182.1744,140.982768
182.1744,141.562944
183.69252,141.853032
182.1744,139.24224
194.31936,142.723296
182.1744,137.501712
183.69252,168.25104
182.1744,144.028692
180.65628,146.49444
180.65628,138.51702
179.13816,135.181008
182.1744,147.94488
183.69252,141.998076
183.69252,142.14312
124.182216,140.547636
126.76302,150.84576
120.69054,140.982768
214.05492,145.044
