Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,200.428,200.428,screen dark,29.7512116352
0,0.447,0.447,wifi running,0.0009424994999999999
0.447,3.186,2.739,wifi scan,0.5082159719999999
3.186,200.428,197.242,wifi running,0.41588475699999994
3.186,200.428,197.242,audio,33.27078056
3.186,15.579,12.393,audio,2.09045124
16.834,200.428,183.594,audio,30.968635919999997
16.834,26.857,10.023,audio,1.69067964
29.284,200.428,171.144,audio,28.86856992
29.284,39.916,10.631999999999998,audio,1.7934057599999995
41.781,200.428,158.647,audio,26.760575959999997
41.781,53.5,11.719000000000001,audio,1.9767609200000003
55.127,200.428,145.301,audio,24.50937268
55.127,66.498,11.371000000000002,audio,1.9180602800000004
68.128,200.428,132.3,audio,22.316364

